Alpha,Total_Distance,Total_Flow_Capacity
0,185,390
0.01,185,390
0.02,185,390
0.03,185,390
0.04,185,390
0.05,185,390
0.06,185,390
0.07,185,390
0.08,185,390
0.09,185,390
0.1,185,390
0.11,185,390
0.12,185,390
0.13,185,390
0.14,185,390
0.15,185,390
0.16,185,390
0.17,185,390
0.18,185,390
0.19,185,390
0.2,169,390
0.21,169,390
0.22,169,390
0.23,169,390
0.24,169,390
0.25,169,390
0.26,169,390
0.27,169,390
0.28,147,375
0.29,134,365
0.3,134,365
0.31,134,365
0.32,134,365
0.33,134,365
0.34,134,365
0.35,134,365
0.36,134,365
0.37,134,365
0.38,134,365
0.39,134,365
0.4,134,365
0.41,134,365
0.42,134,365
0.43,134,365
0.44,134,365
0.45,134,365
0.46,134,365
0.47,134,365
0.48,134,365
0.49,134,365
0.5,134,365
0.51,134,365
0.52,134,365
0.53,127,345
0.54,127,345
0.55,127,345
0.56,127,345
0.57,124,345
0.58,124,345
0.59,124,345
0.6,124,345
0.61,124,345
0.62,124,345
0.63,124,345
0.64,124,345
0.65,124,345
0.66,124,345
0.67,124,345
0.68,124,345
0.69,124,345
0.7,124,345
0.71,119,330
0.72,119,330
0.73,119,330
0.74,119,330
0.75,119,330
0.76,119,330
0.77,119,330
0.78,119,330
0.79,119,330
0.8,119,330
0.81,119,330
0.82,119,330
0.83,119,330
0.84,119,330
0.85,119,330
0.86,117,310
0.87,117,310
0.88,117,310
0.89,117,310
0.9,117,310
0.91,117,310
0.92,117,310
0.93,117,310
0.94,117,310
0.95,117,310
0.96,117,310
0.97,117,310
0.98,117,310
0.99,117,310
1,117,310
